0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Sooner Or Later,LøVë,Aaron Carter,2017-02-10,212564,36,0.127,0.737,0.729,2.16e-05,0.077,-6.817,0.0354,111.937,4
Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,2017-06-30,230813,72,0.498,0.736,0.795,1.21e-06,0.254,-3.299,0.0545,104.066,4
Now Or Never,hopeless fountain kingdom (Deluxe),Halsey,2017-06-02,214801,67,0.107,0.67,0.585,1.11e-06,0.131,-4.861,0.0354,110.03,4
First Time,First Time,Kygo,2017-04-28,193511,64,0.197,0.633,0.592,0.0,0.099,-7.245,0.112,90.066,4
Shed a Light,Uncovered,Robin Schulz,2017-09-29,191379,59,0.112,0.483,0.787,0.0,0.257,-5.244,0.102,122.058,4
Watching You,Watching You,Alvaro,2017-03-03,195739,37,0.0291,0.83,0.508,0.0,0.24,-6.07,0.0613,95.051,4
No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),Cheat Codes,2017-03-31,223503,67,0.0575,0.741,0.667,0.0,0.106,-5.445,0.134,112.956,4
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,2017-06-22,288600,72,0.0552,0.609,0.668,0.0,0.167,-4.284,0.0367,80.924,4
Feel Good (feat. Daya),Feel Good (feat. Daya),Gryffin,2017-03-03,248156,0,0.22,0.625,0.707,0.0,0.213,-4.761,0.0337,138.064,4
Honest,Memories...Do Not Open,The Chainsmokers,2017-04-07,208000,57,0.0121,0.673,0.514,8.5e-05,0.385,-10.772,0.0465,100.035,4
Young,Memories...Do Not Open,The Chainsmokers,2017-04-07,224773,60,0.0105,0.615,0.564,0.0,0.148,-6.384,0.0291,103.006,4
More More More,More More More,Dagny,2017-09-08,199226,0,0.00138,0.623,0.903,6.86e-06,0.0718,-4.278,0.0544,114.934,4
What Lovers Do (feat. SZA),Red Pill Blues (Deluxe),Maroon 5,2017-11-03,199849,0,0.0786,0.795,0.615,2.98e-06,0.0855,-5.211,0.0671,110.009,4
Be Good (RAC Remix),Smith,Tokyo Police Club,2007-10-30,165986,32,0.00457,0.592,0.934,0.0283,0.07,-2.808,0.0509,105.517,4
Bambi,Champ (Deluxe Edition),Tokyo Police Club,2010-01-01,166013,0,0.00255,0.622,0.849,0.0328,0.153,-7.075,0.0378,140.017,4
Your English Is Good,Elephant Shell,Tokyo Police Club,2008-01-01,191653,0,0.000949,0.579,0.845,0.000661,0.143,-4.123,0.0515,121.151,4
Nature Of The Experiment,A Lesson In Crime,Tokyo Police Club,2006-04-18,121733,32,0.000264,0.53,0.912,0.0296,0.239,-2.89,0.0272,100.836,4
My Number,Holy Fire,Foals,2013-02-11,240533,1,0.0319,0.639,0.744,0.000458,0.466,-8.377,0.0368,128.047,4
The Start Of Something,Raised By Wolves EP,Voxtrot,2005-01-01,271746,11,0.179,0.632,0.733,1.04e-05,0.0988,-6.924,0.0293,107.056,4
Ghost,Voxtrot (Standard Version),Voxtrot,2007-05-22,290840,0,0.105,0.395,0.747,0.000245,0.101,-6.823,0.0329,159.432,4
Back in Your Head,The Con,Tegan and Sara,2007-07-24,180533,50,0.0357,0.752,0.799,0.0366,0.0872,-7.455,0.0284,141.447,4
If I Ever Feel Better,United,Phoenix,2000-03-06,266600,64,0.0492,0.755,0.553,0.00607,0.0646,-9.449,0.107,119.7,4
Panda,Panda,Desiigner,2015-12-15,246595,0,0.15,0.802,0.639,0.0,0.37,-7.905,0.361,145.276,4
Boom Boom (feat. Shhhean),Boom Boom (feat. Shhhean),Shaggy,2015-07-24,217959,28,0.00305,0.944,0.577,0.000188,0.087,-7.664,0.078,98.008,4
Lean On (feat. MØ & DJ Snake),Peace Is The Mission,Major Lazer,2015-05-29,176561,0,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,98.007,4
Turn Down for What,Turn Down for What,DJ Snake,2013-12-18,213733,71,0.00107,0.818,0.799,0.128,0.057,-4.1,0.156,100.014,4
Cheap Thrills (feat. Sean Paul),This Is Acting,Sia,2016-02-18,224813,70,0.0561,0.592,0.8,2.01e-06,0.0775,-4.931,0.215,89.972,4
Stuntin' Like My Daddy - Street,Like Father Like Son,Birdman,2006-01-01,267293,60,0.00908,0.71,0.881,0.0,0.162,-6.648,0.0398,160.011,4
Can't Tell Me Nothing,Graduation,Kanye West,2007-09-11,271600,1,0.0121,0.594,0.614,0.0,0.823,-6.091,0.0536,79.968,4
Turn On The Lights,Pluto,Future,2012-04-16,249253,34,0.0432,0.582,0.581,0.0,0.18,-9.36,0.213,130.962,4
I'm On One,We The Best Forever,DJ Khaled,2011-01-01,296146,69,0.0536,0.413,0.807,0.0,0.631,-3.499,0.318,149.33,4
My Last,Finally Famous (Deluxe),Big Sean,2011-01-01,254120,57,0.098,0.387,0.773,0.0,0.209,-5.685,0.17,78.629,4
Guap,Hall Of Fame (Deluxe),Big Sean,2013-01-01,271653,50,0.311,0.65,0.723,0.0,0.412,-5.807,0.172,146.076,4
Lean and Dabb,Lean and Dabb,iLoveMemphis,2015-12-18,237053,38,0.0192,0.795,0.646,0.0,0.278,-9.001,0.436,80.027,4
Fight Night,No Label II,Migos,2014-06-03,216247,17,0.182,0.874,0.706,0.0,0.334,-5.132,0.207,89.961,4
I'm Sayin' (feat. Rich Homie Quan),I'm Sayin' (feat. Rich Homie Quan),Omarion,2015-11-20,202200,43,0.00223,0.776,0.574,0.0,0.267,-6.03,0.197,100.162,4
