0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Lose Control (feat. Ciara & Fat Man Scoop),The Cookbook,Missy Elliott,2005-07-04,226863,67,0.0311,0.904,0.813,0.00697,0.0471,-7.105,0.121,125.461,4
Toxic,In The Zone,Britney Spears,2003-11-13,198800,81,0.0249,0.774,0.838,0.025,0.242,-3.914,0.114,143.04,4
Crazy In Love (feat. Jay-Z),Dangerously In Love (Alben für die Ewigkeit),Beyoncé,2003-06-23,235933,21,0.00238,0.664,0.758,0.0,0.0598,-6.583,0.21,99.259,4
Rock Your Body,Justified,Justin Timberlake,2002-11-04,267266,76,0.201,0.892,0.714,0.000234,0.0521,-6.055,0.141,100.972,4
It Wasn't Me,Hot Shot (International Version #2),Shaggy,2000,227600,0,0.0561,0.853,0.606,0.0,0.313,-4.596,0.0713,94.759,4
Yeah!,Confessions,Usher,2004-03-08,250373,0,0.0212,0.881,0.788,0.0,0.0377,-4.669,0.168,104.997,4
My Boo,Confessions (Expanded Edition),Usher,2004-03-23,223440,77,0.257,0.662,0.507,0.0,0.0465,-8.238,0.118,86.412,4
Buttons,PCD,The Pussycat Dolls,2005-01-01,225560,65,0.178,0.57,0.821,0.0,0.289,-4.38,0.267,210.857,4
Say My Name,The Writing's On The Wall,Destiny's Child,1999-07-27,271333,76,0.273,0.713,0.678,0.0,0.149,-3.525,0.102,138.009,4
Hey Ya!,Speakerboxxx/The Love Below,Outkast,2003,235213,81,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,79.526,4
Promiscuous,Loose,Nelly Furtado,2006-01-01,242293,82,0.0569,0.808,0.97,6.13e-05,0.154,-6.098,0.0506,114.328,4
Right Where You Want Me - Radio Edit Version,Right Where You Want Me,Jesse McCartney,2006-01-01,211693,0,0.00206,0.71,0.553,5.48e-05,0.0469,-4.722,0.0292,99.005,4
Beautiful Soul,Beautiful Soul,Jesse McCartney,2004-01-01,214226,72,0.0759,0.66,0.666,0.0,0.0268,-4.342,0.0472,89.975,4
