0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
血、汗、涙 - Japanese ver.,血、汗、涙,BTS,2017-05-10,215053,0,0.0475,0.565,0.889,0.0,0.375,-2.841,0.0783,93.091,4
Not Today - Japanese ver.,血、汗、涙,BTS,2017-05-10,232133,0,0.00163,0.594,0.951,0.0,0.965,-2.942,0.145,110.041,4
Spring Day - Japanese ver.,血、汗、涙,BTS,2017-05-10,274160,0,0.0179,0.548,0.829,0.0,0.136,-2.962,0.0371,106.996,4
Spring Day,You Never Walk Alone,BTS,2017-02-13,274097,2,0.0063,0.539,0.846,1.68e-06,0.13,-3.192,0.0354,106.992,4
Blood Sweat & Tears,Wings,BTS,2016-10-10,217051,3,0.0244,0.583,0.885,0.0,0.357,-3.571,0.106,92.959,4
Dope,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,240020,0,0.0483,0.619,0.889,0.0,0.324,-3.108,0.219,77.058,4
Not Today,You Never Walk Alone,BTS,2017-02-13,231859,2,0.00181,0.594,0.946,1.04e-06,0.923,-3.408,0.126,110.024,4
I Need U,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,210986,0,0.0215,0.486,0.88,0.0,0.24,-3.097,0.0706,158.043,4
LONELY,LONELY,SISTAR,2017-05-31,207932,49,0.206,0.445,0.819,0.0,0.422,-3.324,0.0587,169.577,4
I Like That,INSANE LOVE,SISTAR,2016-06-21,221371,54,0.0952,0.564,0.867,0.0,0.737,-3.137,0.0881,154.882,4
Touch my body,TOUCH N MOVE,SISTAR,2014-07-21,206500,59,0.0437,0.633,0.915,0.0,0.107,-2.347,0.106,128.033,4
SHAKE IT,SHAKE IT,SISTAR,2015-06-22,208506,56,0.0234,0.778,0.957,0.0,0.715,-2.57,0.0735,118.997,4
Give it to me,Give It To Me (2),SISTAR,2013-06-11,201325,57,0.176,0.719,0.945,0.0,0.576,-2.085,0.0424,136.045,4
Say I Love You,INSANE LOVE,SISTAR,2016-06-21,189548,26,0.268,0.533,0.654,0.0,0.162,-5.884,0.283,170.044,4
Monster,EX'ACT - The 3rd Album,EXO,2016-06-09,221341,0,0.0066,0.618,0.76,0.0,0.127,-4.312,0.0596,150.0,4
CALL ME BABY,The 2nd Album ‘EXODUS’,EXO,2015-03-30,211013,0,0.284,0.692,0.886,0.0,0.341,-2.519,0.0519,100.03,4
Lotto,LOTTO - The 3rd Album Repackage,EXO,2016-08-18,189774,0,0.0618,0.798,0.867,0.0,0.193,-3.207,0.0386,99.996,4
으르렁 Growl,The 1st Album 'XOXO' (Repackage),EXO,2013-08-05,207053,0,0.145,0.681,0.814,0.0,0.556,-2.83,0.0603,89.99,4
Dancing King,Dancing King,Yoo Jae Seok,2016-09-17,244463,0,0.0185,0.729,0.88,0.0,0.0574,-3.712,0.0458,127.987,4
