0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Die Young - Deconstructed Mix,Warrior (Expanded Edition),Kesha,2012-11-30,201506,28,0.534,0.583,0.369,3.9e-06,0.151,-7.388,0.0369,117.28,4
Absolutely (Story of a Girl) - Radio Mix,The Madding Crowd,Nine Days,2000-05-16,189333,68,0.000891,0.481,0.94,0.0,0.0939,-5.204,0.066,96.493,4
Galaxies,All Things Bright And Beautiful,Owl City,2011-01-01,243200,40,0.0258,0.65,0.975,1.44e-05,0.0797,-4.85,0.0412,119.989,4
Treasure,Unorthodox Jukebox,Bruno Mars,2012-12-05,178560,44,0.034,0.874,0.687,7.59e-05,0.324,-5.253,0.0426,116.054,4
Super Bass,"Punk Goes Pop, Vol. 4",Various Artists,2011-01-01,217706,0,0.04,0.641,0.921,0.000826,0.234,-4.265,0.0324,118.084,4
Sledgehammer,Reflection (Japan Deluxe Edition),Fifth Harmony,2014,230906,34,0.0057,0.671,0.777,0.0011,0.0783,-4.322,0.046,99.98,4
Everybody Talks,Picture Show,Neon Trees,2012-01-01,177280,79,0.00301,0.471,0.924,0.0,0.313,-3.906,0.0586,154.961,4
Everybody Talks,Picture Show,Neon Trees,2012-01-01,177280,79,0.00301,0.471,0.924,0.0,0.313,-3.906,0.0586,154.961,4
1983,Habits,Neon Trees,2010-01-01,222560,54,7.37e-05,0.463,0.981,0.0,0.102,-3.922,0.18,153.048,4
Avalanche,TALKING IS HARD,WALK THE MOON,2014-12-02,218720,51,0.00059,0.594,0.858,3.11e-06,0.0642,-4.339,0.0387,138.021,4
Work This Body,TALKING IS HARD,WALK THE MOON,2014-12-02,175906,61,0.0283,0.421,0.831,0.0,0.464,-5.128,0.106,134.184,4
Anna Sun,Walk The Moon,WALK THE MOON,2012-06-19,321280,63,0.00173,0.472,0.844,0.0,0.24,-6.578,0.054,140.034,4
Something Good Can Work,Tourist History,Two Door Cinema Club,2010-02-07,164186,0,0.00559,0.65,0.833,0.000727,0.186,-5.079,0.0355,119.939,4
Cardiac Arrest,Language & Perspective,Bad Suns,2014-07-01,182518,61,0.0521,0.616,0.88,0.000717,0.0539,-3.59,0.042,94.011,4
Human,Day & Age,The Killers,2008-11-18,245360,0,0.00112,0.547,0.837,0.000624,0.0937,-7.085,0.0676,135.47,4
Mr. Brightside,Hot Fuss,The Killers,2004-06-15,222586,46,0.00101,0.356,0.924,0.0,0.0953,-3.74,0.0808,148.017,4
Something Better,Daydreams,Audien,2015-08-28,212619,50,0.0692,0.549,0.835,0.0,0.212,-2.632,0.0656,126.08,4
I Believe in a Thing Called Love,Permission to Land,The Darkness,2003-07-07,217653,70,0.0538,0.442,0.846,4.71e-06,0.282,-5.214,0.0764,128.235,4
And We Danced,Super Hits,The Hooters,1985,227760,63,0.0869,0.561,0.945,0.0,0.22,-6.086,0.0444,145.781,4
Twist And Shout - Remastered,Please Please Me (Remastered),The Beatles,1963-03-22,155226,0,0.641,0.482,0.849,7.74e-06,0.0414,-9.198,0.0452,124.631,4
Molecules,Inanimate Objects,Atlas Genius,2015-08-28,272600,37,0.000431,0.557,0.827,5.13e-05,0.151,-4.885,0.0387,117.019,4
Hello - Single Edit,Hello,Martin Solveig,2010-11-26,282480,0,0.0266,0.671,0.933,0.0219,0.0429,-4.323,0.0318,127.99,4
Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,0,0.156,0.774,0.764,0.0,0.0383,-5.445,0.0518,118.997,4
Giants,Distraction,Bear Hands,2014-08-08,188266,34,0.00638,0.467,0.856,0.0129,0.0782,-5.485,0.111,184.049,4
Relentless - Young & Free Remix,The White Album (Remix Project),Hillsong UNITED,2014-03-03,245280,39,0.003,0.497,0.709,0.0351,0.0951,-7.486,0.034,130.013,4
On Our Way,Goldrushed,The Royal Concept,2013-09-11,194186,33,0.00448,0.6,0.828,0.0,0.168,-5.485,0.121,130.913,4
Coming Your Way,Coming Your Way,Beach Avenue,2014-06-02,183903,38,0.087,0.658,0.621,0.0,0.56,-6.401,0.0244,108.006,3
Collide (feat. Jonathan Thulin),Alpha,Built By Titan,2015-01-12,235775,39,0.0121,0.549,0.924,0.000397,0.138,-2.896,0.0671,122.953,4
Come Alive,Come Alive,Astoria Kings,2012-01-12,226213,0,0.0855,0.541,0.95,0.0,0.0601,-3.249,0.0941,153.922,4
Best of 2012: Payphone / Call Me Maybe / Wide Awake / Starships / We Are Young,Best of the Year Medleys: 2007 - 2012,Anthem Lights,2015-10-16,209134,53,0.688,0.375,0.418,0.0,0.371,-5.999,0.036,136.319,5
Always Summer,Southern Air,Yellowcard,2012-08-14,189585,0,4.49e-05,0.434,0.986,6.75e-06,0.235,-2.138,0.0927,170.021,4
This World Is Yours,This World Is Yours,Adam Martin,2013-01-01,220606,0,0.118,0.521,0.913,0.000233,0.161,-2.235,0.057,127.96,4
Gives You Hell,When The World Comes Down,The All-American Rejects,2008-01-01,213106,71,0.0159,0.718,0.691,0.0,0.0627,-6.44,0.0387,100.008,4
Kinks Shirt,Last Of The Great Pretenders,Matt Nathanson,2013-01-01,179973,44,0.211,0.705,0.795,0.0,0.168,-3.868,0.0784,81.994,4
Un Día de Sol,Un Día de Sol,Los Claxons,2013-07-02,222866,43,0.0597,0.639,0.924,0.0,0.404,-4.934,0.0373,105.022,4
Run Away with You,Gravity,Big & Rich,2014-09-23,224960,50,0.141,0.535,0.803,0.0,0.297,-4.116,0.0465,147.902,4
I Love You This Big,Clear As Day,Scotty McCreery,2011-01-01,246120,47,0.0922,0.521,0.647,8.21e-05,0.123,-6.344,0.0295,83.963,4
Yours,Yours,Russell Dickerson,2017-10-13,216960,0,0.119,0.555,0.722,0.0,0.0861,-6.005,0.034,134.058,4
Alright,Learn To Live,Darius Rucker,2008-01-01,231920,70,0.0527,0.601,0.806,0.0,0.185,-4.579,0.0345,89.87,4
I Won't Give Up,Love Is a Four Letter Word (Deluxe Edition),Jason Mraz,2012-04-13,240165,70,0.694,0.483,0.303,0.0,0.115,-10.058,0.0429,133.406,3
Ride (feat. Ludacris),Basic Instinct,Ciara,2010-12-10,274146,55,0.00131,0.694,0.719,1.47e-05,0.0714,-4.538,0.0484,129.961,4
Motivation,Here I Am (Deluxe Version),Kelly Rowland,2011-01-01,230560,61,0.187,0.744,0.672,0.000123,0.105,-5.589,0.0418,140.889,4
Kisses Down Low,Talk A Good Game (Deluxe Edition),Kelly Rowland,2013-01-01,254866,52,0.0166,0.632,0.723,3.74e-05,0.104,-9.323,0.0682,137.958,4
Something I Need,Native,OneRepublic,2013-01-01,240080,0,0.13,0.681,0.587,0.0,0.198,-6.97,0.0316,98.986,4
