0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Juke Jam (feat. Justin Bieber & Towkio),Coloring Book,Chance the Rapper,2016-05-27,219683,63,0.716,0.505,0.397,0.0,0.0853,-9.349,0.324,95.063,1
Proof,Royalty (Deluxe Version),Chris Brown,2015-12-18,241480,40,0.22,0.338,0.642,0.0,0.188,-6.584,0.189,154.968,4
Drunk Texting,X (Deluxe Version),Chris Brown,2014-09-12,227506,0,0.2,0.403,0.487,0.0,0.264,-5.601,0.0941,61.314,4
Wild Thoughts (feat. Rihanna & Bryson Tiller),Grateful,DJ Khaled,2017-06-22,204173,73,0.0329,0.671,0.672,0.0,0.118,-3.094,0.0688,97.979,4
For Free (feat. Drake),Major Key,DJ Khaled,2016-08-05,183695,57,0.0173,0.916,0.571,1.11e-06,0.153,-8.241,0.2,103.521,4
Ima Be Alright (feat. Bryson Tiller & Future),Major Key,DJ Khaled,2016-08-05,246903,35,0.179,0.391,0.78,0.0,0.322,-4.198,0.294,172.043,4
Madonna,If You're Reading This It's Too Late,Drake,2015-02-12,177840,57,0.0149,0.905,0.492,3.77e-05,0.371,-8.598,0.0595,110.017,4
Jungle,If You're Reading This It's Too Late,Drake,2015-02-12,320400,74,0.62,0.697,0.235,0.000144,0.107,-8.651,0.0534,99.947,4
Passionfruit,More Life,Drake,2017-03-18,298940,0,0.256,0.809,0.463,0.085,0.109,-11.377,0.0396,111.98,4
Get It Together,More Life,Drake,2017-03-18,250337,71,0.0945,0.781,0.721,0.391,0.104,-9.133,0.0514,123.011,4
Teenage Fever,More Life,Drake,2017-03-18,219692,79,0.111,0.766,0.283,0.0172,0.115,-10.33,0.0846,97.04,4
Since Way Back,More Life,Drake,2017-03-18,368035,58,0.348,0.468,0.266,9.55e-06,0.209,-11.121,0.13,153.294,4
From Time,Nothing Was The Same (Deluxe),Drake,2013-01-01,322160,0,0.626,0.738,0.491,0.0,0.126,-9.726,0.413,94.378,4
Too Much,Nothing Was The Same (Deluxe),Drake,2013-01-01,261853,0,0.173,0.637,0.569,0.0,0.18,-5.858,0.55,140.269,4
Cameras / Good Ones Go Interlude - Medley,Take Care (Deluxe),Drake,2011-11-15,434960,67,0.255,0.441,0.403,1.27e-05,0.13,-11.18,0.147,139.92,4
The Real Her,Take Care (Deluxe),Drake,2011-11-15,321080,58,0.166,0.567,0.309,0.0,0.12,-14.254,0.385,65.041,4
